,,,,,Games,,Passing,,,,,Rushing,,,,Receiving,,,,,Fumbles,,Scoring,,,Fantasy,,,,,,
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Mike Evans*\EvanMi00,TAM,WR,23,16,16,0,0,0,0,0,0,0,,0,173,96,1321,13.76,12,0,0,12,2,,208,304.1,307.1,256.1,82,1,10
2,Jordy Nelson\NelsJo00,GNB,WR,31,16,16,0,0,0,0,0,0,0,,0,152,97,1257,12.96,14,1,1,14,,,208,304.7,308.7,256.2,82,2,11
3,Antonio Brown*+\BrowAn04,PIT,WR,28,15,15,0,0,0,0,0,3,9,3,0,154,106,1284,12.11,12,0,0,12,,,207,307.3,310.3,254.3,81,3,12
4,Odell Beckham*\BeckOd00,NYG,WR,24,16,16,0,0,0,0,0,1,9,9,0,169,101,1367,13.53,10,3,1,10,,,196,296.6,300.6,246.1,69,4,15
5,T.Y. Hilton*\HiltT.00,IND,WR,27,16,16,0,0,0,0,0,0,0,,0,155,91,1448,15.91,6,0,0,6,1,,185,273.8,276.8,228.3,59,5,18
6,Julio Jones*+\JoneJu02,ATL,WR,27,14,14,0,0,0,0,0,0,0,,0,129,83,1409,16.98,6,0,0,6,,,179,259.9,262.9,218.4,53,6,20
7,Davante Adams\AdamDa01,GNB,WR,24,16,15,0,0,0,0,0,0,0,,0,121,75,997,13.29,12,2,1,12,1,,174,246.7,250.7,209.2,48,7,22
8,Brandin Cooks\CookBr00,NOR,WR,23,16,12,0,0,0,0,0,6,30,5,0,117,78,1173,15.04,8,1,0,8,,,168,246.3,249.3,207.3,42,8,25
9,Michael Thomas\ThomMi05,NOR,WR,23,15,12,0,0,0,0,0,0,0,,0,121,92,1137,12.36,9,2,2,9,,,164,255.7,260.7,209.7,38,9,30
10,Doug Baldwin*\BaldDo00,SEA,WR,28,16,15,1,1,15,1,0,3,2,0.67,0,125,94,1128,12,7,1,0,7,,,162,253.6,256.6,206.6,35,10,31
11,Michael Crabtree\CrabMi00,OAK,WR,29,16,16,0,0,0,0,0,0,0,,0,145,89,1003,11.27,8,2,0,8,1,,152,239.3,242.3,194.8,26,11,39
