Rk,Player,Tm,FantPos,Age,G,GS,Tgt,Rec,Yds,Y/R,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
88,Josh Bellamy\BellJo02,CHI,WR,28,15,7,46,24,376,15.67,0,0,1,,,44,68.2,71.2,56.2,,88,
89,Zay Jones\JoneZa00,BUF,WR,22,15,10,74,27,316,11.7,0,0,2,,,44,70.6,73.6,57.1,,89,
90,Corey Coleman\ColeCo00,CLE,WR,23,9,8,58,23,305,13.26,0,0,2,,,43,65.5,68.5,54,,91,
91,Cody Latimer\LatiCo00,DEN,WR,25,11,1,31,19,287,15.11,1,0,2,1,,43,61.7,64.7,52.2,,90,
92,Rashard Higgins\HiggRa00,CLE,WR,23,15,4,50,27,312,11.56,1,1,2,,,42,68.6,72.6,55.1,,94,
93,Tavarres King\KingTa00,NYG,WR,27,8,3,37,18,240,13.33,0,0,3,,,42,60.3,63.3,51.3,,92,
94,Chris Moore\MoorCh00,BAL,WR,24,13,4,38,18,248,13.78,0,0,4,,,42,59.9,68.9,56.9,,93,
95,Josh Gordon\GordJo02,CLE,WR,26,5,5,42,18,335,18.61,0,0,1,,,40,57.5,60.5,48.5,,98,
96,Justin Hardy\HardJu00,ATL,WR,26,16,1,29,20,221,11.05,1,0,3,,,40,60.1,63.1,50.1,,96,
97,Dontrelle Inman\InmaDo00,2TM,WR,28,12,7,44,25,343,13.72,0,0,1,,,40,65.3,68.3,52.8,,95,
98,Dede Westbrook\WestDe00,JAX,WR,24,7,5,51,27,339,12.56,1,0,1,,,40,66.9,69.9,53.4,,97,
99,Kenny Britt\BritKe00,2TM,WR,29,12,4,43,20,256,12.8,0,0,2,,,38,57.6,60.6,47.6,,100,
100,Aldrick Robinson\RobiAl00,SFO,WR,29,16,1,48,19,260,13.68,0,0,2,,,38,57,60,47.5,,99,
101,Corey Davis\DaviCo03,TEN,WR,22,11,9,65,34,375,11.03,1,1,0,,,36,69.5,73.5,52.5,,103,
102,Johnny Holton\HoltJo00,OAK,WR,26,16,1,18,9,218,24.22,3,2,3,,,36,44.8,49.8,40.3,,101,
103,Ricardo Louis\LouiRi00,CLE,WR,23,16,9,61,27,357,13.22,0,0,0,,,36,62.7,65.7,49.2,,102,
104,Tyler Boyd\BoydTy00,CIN,WR,23,10,1,32,22,225,10.23,0,0,2,,,35,56.5,59.5,45.5,,105,
105,Chester Rogers\RogeCh02,IND,WR,23,11,4,37,23,284,12.35,0,0,1,,,35,58.2,61.2,46.7,,104,
106,Michael Campanaro\CampMi02,BAL,WR,26,13,0,27,19,173,9.11,4,0,2,,,34,52.5,55.5,43,,106,
107,Taywan Taylor\TaylTa00,TEN,WR,22,16,4,28,16,231,14.44,0,0,1,,,33,49.4,52.4,41.4,,107,
108,Jakeem Grant\GranJa00,MIA,WR,25,16,0,22,13,203,15.62,2,1,2,,,32,44.5,48.5,38,,110,
109,Jordan Matthews\MattJo00,BUF,WR,25,10,7,36,25,282,11.28,1,1,1,,,32,57.2,61.2,44.7,,108,
110,Jarius Wright\WrigJa02,MIN,WR,28,16,0,25,18,198,11,0,0,2,,,32,49.8,52.8,40.8,,109,
111,Tavon Austin\AustTa00,LAR,WR,27,16,9,22,13,47,3.62,5,4,1,,,30,42.7,49.7,36.2,,113,
112,Damiere Byrd\ByrdDa00,CAR,WR,24,8,3,17,10,105,10.5,0,0,3,,,30,39.7,42.7,34.7,,114,
113,Andre Holmes\HolmAn00,BUF,WR,29,14,2,22,13,120,9.23,0,0,3,,,30,43,46,36.5,,111,
114,Terrelle Pryor\PryoTe00,WAS,WR,28,9,2,37,20,240,12,0,0,1,,,30,50,53,40,,112,
115,Mack Hollins\HollMa00,PHI,WR,24,16,0,22,16,226,14.13,0,0,1,,,29,44.6,47.6,36.6,,115,
116,Russell Shepard\ShepRu00,CAR,WR,27,15,3,32,17,202,11.88,1,0,1,,,28,45.1,48.1,36.6,,116,
117,De'Anthony Thomas\ThomDe05,KAN,WR,24,16,2,16,14,143,10.21,1,0,2,,,27,40.7,43.7,33.7,,117,
118,Kendrick Bourne\BourKe00,SFO,WR,22,11,0,34,16,257,16.06,0,0,0,,,26,41.7,44.7,33.7,,118,
119,Alex Erickson\EricAl01,CIN,WR,25,16,0,16,12,180,15,6,1,1,,,24,35.6,39.6,29.6,,120,
120,Jeremy Kerley\KerlJe00,NYJ,WR,29,8,2,27,22,217,9.86,3,2,1,,,24,45.7,50.7,34.7,,119,
121,Geronimo Allison\AlliGe01,GNB,WR,23,15,2,39,23,253,11,2,1,0,,,23,46.3,50.3,34.8,,121,
122,Jaydon Mickens\MickJa01,JAX,WR,23,10,0,11,6,77,12.83,4,2,3,,,22,27.7,29.7,24.7,,123,
123,Braxton Miller\MillBr03,HOU,WR,25,11,3,29,19,162,8.53,0,0,1,,,22,41.3,44.3,31.8,,122,
124,Demarcus Robinson\RobiDe01,KAN,WR,23,16,8,39,21,212,10.1,0,0,0,,,21,42.2,45.2,31.7,,124,
125,Phillip Dorsett\DorsPh00,NWE,WR,24,15,2,18,12,194,16.17,0,0,0,,,20,32.1,35.1,26.1,,125,
126,Laquon Treadwell\TreaLa00,MIN,WR,22,16,7,35,20,200,10,1,0,0,,,20,40,43,30,,126,
127,Eli Rogers\RogeEl00,PIT,WR,25,14,4,36,18,149,8.28,1,1,1,,,19,36.9,40.9,27.9,,127,
128,Chris Conley\ConlCh00,KAN,WR,25,5,5,16,11,175,15.91,0,0,0,,,18,28.5,31.5,23,,130,
129,Louis Murphy\MurpLo00,SFO,WR,30,7,7,17,8,121,15.13,0,0,1,,,18,26.1,29.1,22.1,,128,
130,Curtis Samuel\SamuCu00,CAR,WR,21,9,4,26,15,115,7.67,0,0,0,,,18,32.9,35.9,25.4,,129,
131,Tommylee Lewis\LewiTo00,NOR,WR,25,15,0,14,10,116,11.6,1,1,1,,,17,27,31,22,,131,
132,Josh Reynolds\ReynJo00,LAR,WR,22,16,1,24,11,104,9.45,0,0,1,,,16,27.4,30.4,21.9,,132,
133,Kaelin Clay\ClayKa00,2TM,WR,25,13,2,19,6,85,14.17,3,1,1,,,15,21.2,22.2,18.2,,134,
134,Brandon Marshall\MarsBr00,NYG,WR,33,5,5,33,18,154,8.56,0,0,0,,,15,33.4,36.4,24.4,,133,
135,Darrius Heyward-Bey\HeywDa00,PIT,WR,30,16,0,3,2,47,23.5,0,0,1,,,14,15.9,15.9,14.9,,138,
136,Tre McBride\McBrTr00,CHI,WR,25,8,3,15,8,144,18,0,0,0,,,14,22.4,25.4,18.4,,135,
137,Brandon Tate\TateBr00,BUF,WR,30,13,1,14,6,81,13.5,1,0,1,,,14,20.1,20.1,17.1,,137,
138,Jordan Taylor\TaylJo01,DEN,WR,25,10,2,20,13,142,10.92,1,0,0,,,14,27.2,30.2,20.7,,136,
139,Kamar Aiken\AikeKa00,IND,WR,28,15,7,44,15,133,8.87,0,0,0,,,13,28.3,31.3,20.8,,139,
