Rk,Player,Tm,FantPos,Age,G,GS,Tgt,Rec,Yds,Y/R,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Tyreek Hill*+\HillTy00,KAN,WR,24,16,16,137,87,1479,17,0,0,14,,,247,334,340,290.5,131,1,6
2,Antonio Brown*\BrowAn04,PIT,WR,30,15,15,168,104,1297,12.47,0,0,15,,,220,323.7,326.7,271.7,103,2,9
3,Davante Adams*\AdamDa01,GNB,WR,26,15,15,169,111,1386,12.49,0,0,13,1,,219,329.6,332.6,274.1,102,3,10
4,DeAndre Hopkins*+\HopkDe00,HOU,WR,26,16,16,163,115,1572,13.67,2,2,11,,,219,333.5,338.5,276,102,4,11
5,Julio Jones*\JoneJu02,ATL,WR,29,16,16,170,113,1677,14.84,2,2,8,,,213,325.9,330.9,269.4,97,5,12
6,Mike Evans*\EvanMi00,TAM,WR,25,16,16,138,86,1524,17.72,2,1,9,,,198,284.4,294.4,247.4,82,6,16
7,Adam Thielen*\ThieAd00,MIN,WR,28,16,16,153,113,1373,12.15,1,1,9,1,,194,307.3,311.3,250.8,78,7,18
8,Michael Thomas*+\ThomMi05,NOR,WR,25,16,16,147,125,1405,11.24,2,2,9,,,191,315.5,320.5,253,74,8,19
9,JuJu Smith-Schuster*\SmitJu00,PIT,WR,22,16,13,166,111,1426,12.85,1,1,7,1,,186,296.9,300.9,241.4,70,9,22
10,Robert Woods\WoodRo02,LAR,WR,26,16,16,130,86,1219,14.17,0,0,7,,,180,265.6,271.6,222.6,63,10,25
11,Tyler Lockett\LockTy00,SEA,WR,26,16,14,70,57,965,16.93,2,0,10,1,,165,222.4,225.4,193.9,49,11,32
12,Stefon Diggs\DiggSt00,MIN,WR,25,15,14,149,102,1021,10.01,0,0,9,1,,164,266.3,269.3,215.3,48,12,33
13,Brandin Cooks\CookBr00,LAR,WR,25,16,16,117,80,1204,15.05,1,0,6,,,163,243.2,246.2,203.2,47,13,34
14,Keenan Allen*\AlleKe00,LAC,WR,26,16,14,136,97,1196,12.33,3,1,6,1,,163,260.1,264.1,211.6,47,14,35
15,T.Y. Hilton\HiltT.00,IND,WR,29,14,14,120,76,1270,16.71,0,0,6,,,163,239,242,201,47,15,36
16,Odell Beckham\BeckOd00,NYG,WR,26,12,12,124,77,1052,13.66,2,1,6,,,153,230.3,234.3,191.8,37,16,41
17,Tyler Boyd\BoydTy00,CIN,WR,24,14,14,108,76,1028,13.53,0,0,7,,,145,221.1,224.1,183.1,29,17,44
18,Calvin Ridley\RidlCa00,ATL,WR,24,16,5,92,64,821,12.83,2,1,10,,,143,206.8,210.8,174.8,26,18,47
19,Amari Cooper*\CoopAm00,2TM,WR,24,15,15,107,75,1005,13.4,2,2,7,,,141,215.5,220.5,178,24,19,51
20,Mike Williams\WillMi07,LAC,WR,24,16,5,66,43,664,15.44,0,0,11,1,,137,180.2,183.2,158.7,21,20,53
21,Kenny Golladay\GollKe00,DET,WR,25,15,13,119,70,1063,15.19,1,0,5,,,137,207.1,210.1,172.1,21,21,54
22,Jarvis Landry*\LandJa00,CLE,WR,26,16,14,149,81,976,12.05,1,1,5,,1,136,217.1,221.1,176.6,20,22,55
23,Julian Edelman\EdelJu00,NWE,WR,32,12,12,108,74,850,11.49,1,0,6,,,133,207.4,213.4,170.4,17,23,57
24,Emmanuel Sanders\SandEm00,DEN,WR,31,12,12,98,71,868,12.23,1,0,5,,,127,198.2,201.2,162.7,11,24,60
25,Chris Godwin\GodwCh00,TAM,WR,22,16,5,95,59,842,14.27,4,1,7,1,,126,185.2,189.2,155.7,10,25,63
26,Alshon Jeffery\JeffAl00,PHI,WR,28,13,13,92,65,843,12.97,1,0,6,,,120,185.3,188.3,152.8,4,26,67
27,Corey Davis\DaviCo03,TEN,WR,23,16,16,112,65,891,13.71,1,0,4,,,119,183.6,186.6,151.1,2,27,71
28,Larry Fitzgerald\FitzLa00,ARI,WR,35,16,16,112,69,734,10.64,0,0,6,1,,117,185.7,188.7,151.2,,28,73
29,Sterling Shepard\ShepSt00,NYG,WR,25,16,16,107,66,872,13.21,1,0,4,1,,117,182.5,185.5,149.5,,29,74
30,Mohamed Sanu\SanuMo00,ATL,WR,29,16,16,94,66,838,12.7,2,1,4,1,,116,182.4,186.4,149.4,,30,75
31,Dede Westbrook\WestDe00,JAX,WR,25,16,9,101,66,717,10.86,3,2,6,,,114,179.5,184.5,146.5,,31,
32,Adam Humphries\HumpAd00,TAM,WR,25,16,10,105,76,816,10.74,2,0,5,,,113,188.7,191.7,150.7,,32,
33,DeSean Jackson\JackDe00,TAM,WR,32,12,10,74,41,774,18.88,0,0,5,,,110,151.3,154.3,130.8,,33,
34,Zay Jones\JoneZa00,BUF,WR,23,16,15,102,56,652,11.64,1,0,7,1,,109,165.2,168.2,137.2,,34,
35,Golden Tate\TateGo00,2TM,WR,30,15,8,113,74,795,10.74,3,0,4,1,,109,182.9,185.9,145.9,,35,
36,Robby Anderson\AndeRo04,NYJ,WR,25,14,9,94,50,752,15.04,2,2,6,,,106,156.4,161.4,131.4,,36,
37,A.J. Green\GreeA.00,CIN,WR,30,9,9,77,46,694,15.09,2,1,6,,,103,149.4,153.4,126.4,,37,
38,John Brown\BrowJo02,BAL,WR,28,16,15,97,42,715,17.02,0,0,5,,,102,143.9,146.9,122.9,,39,
39,D.J. Moore\MoorD.00,CAR,WR,21,16,10,82,55,788,14.33,4,3,2,,,102,157,166,129.5,,38,
40,Nelson Agholor\AghoNe00,PHI,WR,25,16,16,97,64,736,11.5,1,0,4,,,101,165.4,168.4,133.4,,40,
41,Josh Gordon\GordJo02,2TM,WR,27,12,12,71,41,737,17.98,0,0,4,,,98,138.7,141.7,118.2,,44,
42,Allen Robinson\RobiAl02,CHI,WR,25,13,12,94,55,754,13.71,1,1,4,,,98,153.3,157.3,125.8,,41,
43,Curtis Samuel\SamuCu00,CAR,WR,22,13,8,65,39,494,12.67,1,1,7,,,98,136.8,140.8,117.3,,42,
44,Demaryius Thomas\ThomDe03,2TM,WR,31,15,15,89,59,677,11.47,0,0,5,,,98,156.7,159.7,127.2,,43,
45,Kenny Stills\StilKe00,MIA,WR,26,15,15,64,37,553,14.95,1,0,6,1,,97,134.4,137.4,115.9,,45,
46,Tyrell Williams\WillTy00,LAC,WR,26,16,10,65,41,653,15.93,2,0,5,,,97,137.8,140.8,117.3,,46,
47,Cooper Kupp\KuppCo00,LAR,WR,25,8,8,55,40,566,14.15,0,0,6,,,95,135.1,138.1,115.1,,47,
48,Jordy Nelson\NelsJo00,OAK,WR,33,15,14,88,63,739,11.73,1,0,3,1,,94,156.7,159.7,125.2,,49,
49,Courtland Sutton\SuttCo00,DEN,WR,23,16,9,84,42,704,16.76,0,0,4,,,94,136.3,139.3,115.3,,48,
50,Doug Baldwin\BaldDo00,SEA,WR,30,13,13,73,50,618,12.36,0,0,5,,,92,141.8,144.8,116.8,,50,
51,Antonio Callaway\CallAn00,CLE,WR,21,16,11,79,43,586,13.63,1,1,5,1,,89,132.3,136.3,110.8,,51,
52,Anthony Miller\MillAn02,CHI,WR,24,15,4,54,33,423,12.82,1,0,7,,,87,120.2,123.2,103.7,,52,
53,Cole Beasley\BeasCo00,DAL,WR,29,16,4,87,65,672,10.34,0,0,3,,,85,150.2,153.2,117.7,,53,
54,Taylor Gabriel\GabrTa00,CHI,WR,27,16,11,93,67,688,10.27,1,1,2,,,85,151.9,155.9,118.4,,54,
55,Donte Moncrief\MoncDo00,JAX,WR,25,16,14,89,48,668,13.92,1,1,3,,,83,130.8,134.8,106.8,,55,
