,,,,,Games,,Passing,,,,,Rushing,,,,Receiving,,,,,Fumbles,,Scoring,,,Fantasy,,,,,,
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
156,Trey Quinn\QuinTr00,WAS,WR,23,3,2,0,0,0,0,0,1,0,0,0,10,9,75,8.33,1,0,0,1,,,14,22.5,22.5,18,,157,
157,Damion Ratley\RatlDa00,CLE,WR,23,13,3,0,0,0,0,0,0,0,,0,20,13,144,11.08,0,0,0,0,,,14,27.4,30.4,20.9,,154,
158,Brandon Powell\PoweBr00,DET,WR,22,6,1,0,0,0,0,0,1,4,4,0,17,11,129,11.73,0,0,0,0,,,13,24.3,27.3,18.8,,158,
159,Brice Butler\ButlBr00,2TM,WR,28,8,1,0,0,0,0,0,0,0,,0,10,6,60,10,1,0,0,1,,,12,18,18,15,,159,
160,Dwayne Harris\HarrDw00,OAK,WR,31,15,1,0,0,0,0,0,2,12,6,0,6,6,40,6.67,0,2,0,1,,,11,17.2,17.2,14.2,,160,
161,Tommylee Lewis\LewiTo00,NOR,WR,26,7,3,0,0,0,0,0,2,10,5,0,3,3,60,20,1,1,1,1,,,11,14,15,12.5,,161,
162,Eli Rogers\RogeEl00,PIT,WR,26,3,3,0,0,0,0,0,1,-4,-4,0,14,12,79,6.58,0,1,0,0,1,,10,21.5,21.5,15.5,,162,
163,De'Anthony Thomas\ThomDe05,KAN,WR,25,5,0,0,0,0,0,0,1,6,6,0,5,3,29,9.67,1,1,0,1,,,10,12.5,12.5,11,,163,
164,Kevin White\WhitKe00,CHI,WR,26,9,0,0,0,0,0,0,0,0,,0,8,4,92,23,0,0,0,0,,,9,13.2,13.2,11.2,,164,
165,Cameron Batson\BatsCa00,TEN,WR,23,11,2,0,0,0,0,0,1,1,1,0,11,8,82,10.25,0,1,0,0,,,8,16.3,16.3,12.3,,165,
166,Corey Coleman\ColeCo00,NYG,WR,24,8,1,0,0,0,0,0,1,5,5,0,8,5,71,14.2,0,0,0,0,,,8,12.6,12.6,10.1,,166,
167,Russell Gage\GageRu00,ATL,WR,22,15,0,0,0,0,0,0,0,0,,0,10,6,63,10.5,0,0,0,0,,,6,12.3,12.3,9.3,,168,
168,JJ Nelson\NelsJJ00,ARI,WR,26,14,2,0,0,0,0,0,4,0,0,0,19,7,64,9.14,0,0,0,0,,,6,13.4,13.4,9.9,,167,
169,Derrick Willies\WillDe06,CLE,WR,24,5,0,0,0,0,0,0,0,0,,0,5,3,61,20.33,0,1,0,0,,,6,9.1,9.1,7.6,,169,
170,Kamar Aiken\AikeKa00,PHI,WR,29,5,1,0,0,0,0,0,0,0,,0,7,6,53,8.83,0,0,0,0,,,5,11.3,11.3,8.3,,171,
171,Noah Brown\BrowNo00,DAL,WR,22,8,2,0,0,0,0,0,0,0,,0,8,5,54,10.8,0,0,0,0,,,5,10.4,10.4,7.9,,170,
172,Shelton Gibson\GibsSh00,PHI,WR,23,15,0,0,0,0,0,0,0,0,,0,3,1,48,48,0,0,0,0,,,5,5.8,5.8,5.3,,173,
173,Bobo Wilson\WilsJe00,TAM,WR,23,5,0,0,0,0,0,0,0,0,,0,5,4,52,13,0,0,0,0,,,5,9.2,9.2,7.2,,172,
174,Chad Beebe\BeebCh00,MIN,WR,24,3,0,0,0,0,0,0,0,0,,0,4,4,39,9.75,0,0,0,0,,,4,7.9,7.9,5.9,,176,
175,Jawill Davis\DaviJa07,NYG,WR,23,7,0,0,0,0,0,0,0,0,,0,8,4,40,10,0,0,0,0,,,4,8,8,6,,174,
176,Rashad Greene\GreeRa00,JAX,WR,26,8,1,0,0,0,0,0,0,0,,0,8,6,60,10,0,2,1,0,,,4,10,11,7,,175,
177,Auden Tate\TateAu00,CIN,WR,21,7,0,0,0,0,0,0,0,0,,0,12,4,35,8.75,0,0,0,0,,,4,7.5,7.5,5.5,,178,
178,Jalen Tolliver\TollJa00,ARI,WR,23,3,1,0,0,0,0,0,0,0,,0,6,3,37,12.33,0,0,0,0,,,4,6.7,6.7,5.2,,177,
179,Charone Peake\PeakCh00,NYJ,WR,26,13,0,0,0,0,0,0,0,0,,0,3,2,25,12.5,0,0,0,0,,,3,4.5,4.5,3.5,,180,
180,Javon Wims\WimsJa00,CHI,WR,24,4,0,0,0,0,0,0,0,0,,0,5,4,32,8,0,0,0,0,,,3,7.2,7.2,5.2,,179,
181,River Cracraft\CracRi00,DEN,WR,24,8,0,0,0,0,0,0,0,0,,0,2,1,44,44,0,1,1,0,,,2,3.4,4.4,2.9,,181,
182,Gehrig Dieter\DietGe00,KAN,WR,25,4,0,0,0,0,0,0,0,0,,0,3,1,22,22,0,0,0,0,,,2,3.2,3.2,2.7,,184,
183,KhaDarel Hodge\HodgKh00,LAR,WR,23,14,0,0,0,0,0,0,0,0,,0,3,2,17,8.5,0,0,0,0,,,2,3.7,3.7,2.7,,191,
184,Justin Hunter\HuntJu00,PIT,WR,27,5,0,0,0,0,0,0,0,0,,0,13,3,21,7,0,0,0,0,,,2,5.1,5.1,3.6,,185,
185,Rishard Matthews\MattRi00,2TM,WR,29,8,0,0,0,0,0,0,0,0,,0,9,5,24,4.8,0,0,0,0,,,2,7.4,7.4,4.9,,182,
186,Ray-Ray McCloud\McClRa00,BUF,WR,22,10,1,0,0,0,0,0,2,4,2,0,6,5,36,7.2,0,2,1,0,,,2,7,8,4.5,,186,
187,Brian Quick\QuicBr00,WAS,WR,29,6,3,0,0,0,0,0,0,0,,0,3,3,18,6,0,0,0,0,,,2,4.8,4.8,3.3,,188,
188,Malik Turner\TurnMa00,SEA,WR,22,6,0,0,0,0,0,0,0,0,,0,3,2,20,10,0,0,0,0,,,2,4,4,3,,187,
189,Nick Williams\WillNi02,2TM,WR,28,4,0,0,0,0,0,0,0,0,,0,5,2,17,8.5,0,0,0,0,,,2,3.7,3.7,2.7,,190,
190,Terrance Williams\WillTe01,DAL,WR,29,3,2,0,0,0,0,0,0,0,,0,3,2,18,9,0,0,0,0,,,2,3.8,3.8,2.8,,189,
191,Brandon Zylstra\ZylsBr00,MIN,WR,25,16,0,0,0,0,0,0,0,0,,0,2,1,23,23,0,0,0,0,,,2,3.3,3.3,2.8,,183,
192,Victor Bolden\BoldVi00,2TM,WR,23,6,0,0,0,0,0,0,0,0,,0,4,1,10,10,0,0,0,0,,,1,2,2,1.5,,196,
193,Damiere Byrd\ByrdDa00,CAR,WR,25,8,0,0,0,0,0,0,0,0,,0,2,1,8,8,0,0,0,0,,,1,1.8,1.8,1.3,,200,
194,Sammie Coates\CoatSa00,HOU,WR,25,12,0,0,0,0,0,0,0,0,,0,2,1,12,12,0,0,0,0,,,1,2.2,2.2,1.7,,194,
195,Justin Hardee\HardJu01,NOR,WR,24,16,0,0,0,0,0,0,0,0,,0,1,1,10,10,0,0,0,0,,,1,2,2,1.5,,195,
196,Keon Hatcher\HatcKe00,OAK,WR,24,3,0,0,0,0,0,0,0,0,,0,2,1,8,8,0,0,0,0,,,1,1.8,1.8,1.3,,199,
197,Marcus Kemp\KempMa00,KAN,WR,23,16,0,0,0,0,0,0,0,0,,0,2,1,7,7,0,0,0,0,,,1,1.7,1.7,1.2,,203,
198,Jeremy Kerley\KerlJe00,BUF,WR,30,1,1,0,0,0,0,0,0,0,,0,4,2,7,3.5,0,0,0,0,,,1,2.7,2.7,1.7,,201,
199,Darvin Kidsy\KidsDa00,WAS,WR,23,2,0,0,0,0,0,0,0,0,,0,2,1,8,8,0,0,0,0,,,1,1.8,1.8,1.3,,198,
200,Allen Lazard\LazaAl00,GNB,WR,23,1,0,0,0,0,0,0,0,0,,0,1,1,7,7,0,0,0,0,,,1,1.7,1.7,1.2,,202,
201,Josh Malone\MaloJo00,CIN,WR,22,9,0,0,0,0,0,0,0,0,,0,5,1,12,12,0,0,0,0,,,1,2.2,2.2,1.7,,193,
202,Cam Phillips\PhilCa01,BUF,WR,23,2,0,0,0,0,0,0,0,0,,0,1,1,9,9,0,0,0,0,,,1,1.9,1.9,1.4,,197,
203,Justin Watson\WatsJu01,TAM,WR,23,12,0,0,0,0,0,0,0,0,,0,3,1,5,5,0,0,0,0,,,1,1.5,1.5,1,,204,
204,Tim White\WhitTi00,BAL,WR,24,3,0,0,0,0,0,0,0,0,,0,1,1,14,14,0,1,0,0,,,1,2.4,2.4,1.9,,192,
205,Jehu Chesson\ChesJe00,WAS,WR,25,12,0,0,0,0,0,0,1,-4,-4,0,2,1,7,7,0,0,0,0,,,,1.3,1.3,0.8,,205,
206,Darrius Heyward-Bey\HeywDa00,PIT,WR,31,14,2,0,0,0,0,0,1,-7,-7,0,2,1,9,9,0,0,0,0,,,,1.2,1.2,0.7,,206,
207,J'Mon Moore\MoorJM00,GNB,WR,23,12,0,0,0,0,0,0,0,0,,0,3,2,15,7.5,0,1,1,0,,,-1,1.5,2.5,0.5,,241,
208,Rod Streater\StreRo00,CLE,WR,30,3,0,0,0,0,0,0,1,-11,-11,0,0,0,0,,0,0,0,0,,,-1,-1.1,-1.1,-1.1,,242,
209,JJ Jones\JoneJJ00,2TM,WR,26,4,0,0,0,0,0,0,1,0,0,0,1,1,3,3,0,2,1,0,,,-2,-0.7,0.3,-1.2,,243,
